id,class,petal_length,petal_width,sepal_length,sepal_width,cluster_kmeans3
80,1,3.5,1.0,5.7,2.6,0
81,1,3.8,1.1,5.5,2.4,0
82,1,3.7,1.0,5.5,2.4,0
83,1,3.9,1.2,5.8,2.7,0
84,1,5.1,1.6,6.0,2.7,0
85,1,4.5,1.5,5.4,3.0,0
86,1,4.5,1.6,6.0,3.4,0
87,1,4.7,1.5,6.7,3.1,0
88,1,4.4,1.3,6.3,2.3,0
89,1,4.1,1.3,5.6,3.0,0
90,1,4.0,1.3,5.5,2.5,0
91,1,4.4,1.2,5.5,2.6,0
92,1,4.6,1.4,6.1,3.0,0
93,1,4.0,1.2,5.8,2.6,0
94,1,3.3,1.0,5.0,2.3,0
95,1,4.2,1.3,5.6,2.7,0
96,1,4.2,1.2,5.7,3.0,0
97,1,4.2,1.3,5.7,2.9,0
98,1,4.3,1.3,6.2,2.9,0
99,1,3.0,1.1,5.1,2.5,0
100,1,4.1,1.3,5.7,2.8,0
101,2,6.0,2.5,6.3,3.3,2
102,2,5.1,1.9,5.8,2.7,2
103,2,5.9,2.1,7.1,3.0,2
104,2,5.6,1.8,6.3,2.9,2
105,2,5.8,2.2,6.5,3.0,2
106,2,6.6,2.1,7.6,3.0,2
107,2,4.5,1.7,4.9,2.5,0
108,2,6.3,1.8,7.3,2.9,2
109,2,5.8,1.8,6.7,2.5,2
110,2,6.1,2.5,7.2,3.6,2
111,2,5.1,2.0,6.5,3.2,2
112,2,5.3,1.9,6.4,2.7,2
113,2,5.5,2.1,6.8,3.0,2
114,2,5.0,2.0,5.7,2.5,2
115,2,5.1,2.4,5.8,2.8,2
116,2,5.3,2.3,6.4,3.2,2
117,2,5.5,1.8,6.5,3.0,2
118,2,6.7,2.2,7.7,3.8,2
119,2,6.9,2.3,7.7,2.6,2
120,2,5.0,1.5,6.0,2.2,2
121,2,5.7,2.3,6.9,3.2,2
122,2,4.9,2.0,5.6,2.8,2
123,2,6.7,2.0,7.7,2.8,2
124,2,4.9,1.8,6.3,2.7,2
125,2,5.7,2.1,6.7,3.3,2
126,2,6.0,1.8,7.2,3.2,2
127,2,4.8,1.8,6.2,2.8,2
128,2,4.9,1.8,6.1,3.0,2
129,2,5.6,2.1,6.4,2.8,2
130,2,5.8,1.6,7.2,3.0,2
131,2,6.1,1.9,7.4,2.8,2
132,2,6.4,2.0,7.9,3.8,2
133,2,5.6,2.2,6.4,2.8,2
134,2,5.1,1.5,6.3,2.8,2
135,2,5.6,1.4,6.1,2.6,2
136,2,6.1,2.3,7.7,3.0,2
137,2,5.6,2.4,6.3,3.4,2
138,2,5.5,1.8,6.4,3.1,2
139,2,4.8,1.8,6.0,3.0,2
140,2,5.4,2.1,6.9,3.1,2
141,2,5.6,2.4,6.7,3.1,2
142,2,5.1,2.3,6.9,3.1,2
143,2,5.1,1.9,5.8,2.7,2
144,2,5.9,2.3,6.8,3.2,2
145,2,5.7,2.5,6.7,3.3,2
146,2,5.2,2.3,6.7,3.0,2
147,2,5.0,1.9,6.3,2.5,2
148,2,5.2,2.0,6.5,3.0,2
149,2,5.4,2.3,6.2,3.4,2
150,2,5.1,1.8,5.9,3.0,2
